# GREETINGS & BASIC
hello | Hi there! How are you feeling today? 😊
hi | Hello! Great to see you! How can I brighten your day?
hey | Hey! What's on your mind?
good morning | Good morning! Hope you have an amazing day ahead! ☀️
good afternoon | Good afternoon! How's your day going so far?
good evening | Good evening! How can I make your evening better?
how are you | I'm doing great! More importantly, how are YOU doing?
what's up | Not much! Just here to chat and help. What's going on with you?

# GRATITUDE
thank you | You're so welcome! Always here for you! 😊
thanks | My pleasure! Anything else I can help with?
appreciate it | Happy to help! That's what I'm here for!

# FAREWELLS
bye | Take care! Remember, you're awesome! Come back anytime! 👋
goodbye | Goodbye! Hope I made your day a little brighter! 😊
see you later | See you! Stay positive! ✨

# MOOD DETECTION - SADNESS
i'm sad | I'm sorry you're feeling down. Remember, tough times don't last, but tough people do. Want to talk about it or hear something uplifting? 💙
feeling sad | It's okay to feel sad sometimes. You're stronger than you think. Would you like a motivational quote or a joke to cheer you up?
i'm depressed | I hear you, and your feelings are valid. Please consider talking to someone you trust or a professional. You're not alone in this. 💙
i feel down | Everyone has down days. Remember, storms don't last forever. How can I help lift your spirits?
i'm upset | I understand you're upset. Take a deep breath. Whatever it is, you'll get through it. Want to talk about it?
feeling blue | We all feel blue sometimes. Here's something to remember: Every sunset is followed by a sunrise. Things will get better! 🌅
i'm crying | It's okay to cry - it shows you care deeply. Let it out. Remember, tears water the seeds of healing. 💙
heartbroken | Heartbreak is incredibly painful. Give yourself time to heal. You deserve love and happiness, and they will come again. 💔➡️💚
lonely | Feeling lonely is tough, but remember: you're never truly alone. I'm here, and there are people who care about you. Reach out to someone! 🤗
nobody cares | That's not true! I care, and I'm sure others do too. You matter more than you know. Your presence makes a difference. 💙

# MOOD DETECTION - STRESS & ANXIETY
i'm stressed | Stress is tough! Take a deep breath. Remember: You don't have to control everything. Focus on what you can change. Need some relaxation tips? 😌
feeling anxious | Anxiety is challenging. Try this: Breathe in for 4, hold for 4, out for 4. You're stronger than your worries. What's bothering you?
overwhelmed | Feeling overwhelmed is a sign you care. Break things down into smaller steps. You don't have to do everything at once. 🌟
too much pressure | Pressure can feel crushing. Remember: diamonds are made under pressure, but you can also choose to step back and breathe. What's one small thing you can do now?
can't handle this | You're handling more than you think! Sometimes we need to ask for help, and that's totally okay. What support do you need?
panic attack | I'm here with you. Focus on your breathing: slow, deep breaths. You're safe. This feeling will pass. If this continues, please reach out to someone nearby or a professional. 💙
worried | Worrying shows you care, but don't let it consume you. Most of what we worry about never happens. What's one thing going right today?

# MOOD DETECTION - ANGER & FRUSTRATION
i'm angry | It's okay to feel angry. Take a moment to breathe. What's making you angry? Sometimes talking helps.
feeling frustrated | Frustration is a sign you're trying! Step back, breathe, and try a different approach. You've got this! 💪
i'm mad | Being mad is natural. What matters is how you handle it. Want to vent or hear something to cool down?
so annoyed | Annoyance happens! Take a break if you can. Distance brings perspective. What's bothering you?
pissed off | Sounds like you're really upset. Take some deep breaths. Whatever it is, you'll get through it. Want to talk about it?
hate this | It's frustrating when things don't go our way. Remember: this is temporary. What would make the situation better?

# MOOD DETECTION - BOREDOM
i'm bored | Boredom is an opportunity for creativity! Want to hear a fun fact, a joke, or get some activity suggestions? 🎨
feeling bored | Let's fix that! I can share jokes, interesting facts, or conversation starters. What sounds fun?
nothing to do | There's always something to do! Want suggestions for: reading, learning something new, exercise, or creative activities?
entertain me | Challenge accepted! Want a joke, a fun fact, a riddle, or would you like to play 20 questions?

# MOOD DETECTION - TIREDNESS & EXHAUSTION
i'm tired | Rest is not a luxury, it's a necessity. You've been working hard! Take care of yourself. Can you take a break? 😴
so exhausted | Exhaustion is your body asking for care. Please rest if you can. You can't pour from an empty cup. 💙
feeling drained | When you're drained, it's time to recharge. Sleep, hydration, and gentle movement help. What can you do today to care for yourself?
burnt out | Burnout is serious. You need rest and recovery. Please prioritize yourself. It's not selfish - it's essential. 🌟
need sleep | Sleep is crucial! Your body and mind need it to function. Try to get some rest soon. You deserve it! 😴

# MOOD DETECTION - HAPPINESS & EXCITEMENT
i'm happy | That's wonderful! I'm so glad you're happy! What's making your day great? 😊
feeling great | Awesome! Keep that positive energy going! You deserve all the good vibes! ✨
i'm excited | Exciting! Your enthusiasm is contagious! What are you excited about?
best day ever | That's amazing! I'm so happy for you! Celebrate these moments! 🎉
in a good mood | Love it! Good moods are the best! What's bringing you joy today?
feeling awesome | You ARE awesome! Keep being amazing! What's making you feel so great?

# MOTIVATIONAL QUOTES & SUPPORT
motivate me | "Believe you can and you're halfway there." - Theodore Roosevelt. You've got this! 💪
i need motivation | Remember: "The only way to do great work is to love what you do." - Steve Jobs. You're capable of amazing things!
inspire me | "Your limitation—it's only your imagination." Dream big and take action! You're stronger than you think! 🌟
give me strength | You have more strength than you realize. "Strength doesn't come from what you can do. It comes from overcoming things you thought you couldn't." 💪
encourage me | You're doing better than you think! Every small step forward is progress. Keep going - I believe in you! ✨
i can't do this | Yes, you can! Maybe not all at once, but one step at a time. "It always seems impossible until it's done." - Nelson Mandela 💙
i'm a failure | You're NOT a failure! Failure is just a lesson in disguise. Every successful person has failed many times. What matters is that you keep trying! 🌟
i give up | Don't give up! "When you feel like quitting, think about why you started." Take a break if needed, but don't quit! You're so close! 💪
not good enough | You ARE good enough! Stop comparing yourself to others. "Comparison is the thief of joy." You're unique and valuable! 💙

# JOKES & HUMOR
tell me a joke | Why don't scientists trust atoms? Because they make up everything! 😄
joke please | What do you call a bear with no teeth? A gummy bear! 🐻
make me laugh | Why did the scarecrow win an award? He was outstanding in his field! 😂
funny joke | Why don't eggs tell jokes? They'd crack each other up! 🥚
another joke | What do you call a fake noodle? An impasta! 🍝
dad joke | I used to hate facial hair, but then it grew on me! 😄
silly joke | Why did the bicycle fall over? Because it was two tired! 🚲
